"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 12:18:36 GMT 2021","Tue Aug 03 12:18:39 GMT 2021","3025","","RegistrationTests","","RegistrationTests","testNotMatchPasswordRegistration","RI-04 Regisztráció nem egyező jelszavak megadásával",""
"passed","Tue Aug 03 12:18:51 GMT 2021","Tue Aug 03 12:18:54 GMT 2021","2876","","LoginTest","","LoginTest","TestLoginNoEmail","LI-01 Bejelentkezés email cím megadása nélkül",""
"passed","Tue Aug 03 12:18:39 GMT 2021","Tue Aug 03 12:18:42 GMT 2021","2975","","RegistrationTests","","RegistrationTests","testNoClickTermsCondtsRegistration","RI-05 Regisztráció a felhasználási feltételek elfogadása nélkül",""
"passed","Tue Aug 03 12:18:16 GMT 2021","Tue Aug 03 12:18:30 GMT 2021","14942","","RegistrationTests","","RegistrationTests","testNoEmailRegistration","RI-01 Regisztráció email cím megadása nélkül",""
"passed","Tue Aug 03 12:18:42 GMT 2021","Tue Aug 03 12:18:45 GMT 2021","2995","","RegistrationTests","","RegistrationTests","testNoClickPrivacyPolicyRegistration","RI-06 Regisztráció az adatvédelmi feltételek elfogadása nélkül",""
"failed","Tue Aug 03 12:18:59 GMT 2021","Tue Aug 03 12:19:04 GMT 2021","4821","","LoginTest","","LoginTest","TestLogin","LI-04 Bejelentkezés",""
"passed","Tue Aug 03 12:18:56 GMT 2021","Tue Aug 03 12:18:59 GMT 2021","2853","","LoginTest","","LoginTest","TestLoginWrongPassword","LI-03 Bejelentkezés rossz jelszó megadásával",""
"passed","Tue Aug 03 12:18:33 GMT 2021","Tue Aug 03 12:18:36 GMT 2021","2964","","RegistrationTests","","RegistrationTests","testNotValidPasswordRegistration","RI-03 Regisztráció érvénytelen jelszó megadásával",""
"passed","Tue Aug 03 12:18:54 GMT 2021","Tue Aug 03 12:18:56 GMT 2021","2816","","LoginTest","","LoginTest","TestLoginNoPassword","LI-02 Bejelentkezés jelszó megadása nélkül",""
"passed","Tue Aug 03 12:18:45 GMT 2021","Tue Aug 03 12:18:51 GMT 2021","5166","","LogoutTest","","LogoutTest","TestLogout","LO-01 Kijlentkezés",""
"passed","Tue Aug 03 12:18:31 GMT 2021","Tue Aug 03 12:18:33 GMT 2021","2922","","RegistrationTests","","RegistrationTests","testNoPasswordRegistration","RI-02 Regisztráció jelszó megadása nélkül",""
