"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 15:51:31 GMT 2021","Sun Aug 08 15:51:39 GMT 2021","7372","","PersonalDetailsTests","","PersonalDetailsTests","testUploadUserBillingDetails","PD-05 Felhasználó számlázási adatainak megadása",""
"passed","Sun Aug 08 15:49:17 GMT 2021","Sun Aug 08 15:49:20 GMT 2021","3016","","TrainingTests","","TrainingTests","testOfJogaButton","TR-04 Felső menüsor tesztelése (JÓGA gomb)",""
"passed","Sun Aug 08 15:50:35 GMT 2021","Sun Aug 08 15:50:41 GMT 2021","6469","","LogoutTest","","LogoutTest","TestUserLogout","repetition 5 of 5",""
"passed","Sun Aug 08 15:50:50 GMT 2021","Sun Aug 08 15:50:56 GMT 2021","5980","","LoginTests","","LoginTests","TestUserLogin","LI-04 Bejelentkezés felhasználóként érvényes adatokkal",""
"passed","Sun Aug 08 15:49:52 GMT 2021","Sun Aug 08 15:49:55 GMT 2021","2771","","TrainingTests","","TrainingTests","testOfBodyFitButton","TR-09 Felső menüsor tesztelése (ALAKFORMÁLÓ gomb)",""
"passed","Sun Aug 08 15:50:56 GMT 2021","Sun Aug 08 15:51:02 GMT 2021","6577","","PersonalDetailsTests","","PersonalDetailsTests","testUploadPersonaDetails","PD-01 Regisztrált felhasználó (user) adatainak megadása",""
"passed","Sun Aug 08 15:50:47 GMT 2021","Sun Aug 08 15:50:50 GMT 2021","2829","","LoginTests","","LoginTests","TestUserLoginWrongPassword","LI-03 Bejelentkezés felhasználóként rossz jelszó megadásával",""
"passed","Sun Aug 08 15:48:53 GMT 2021","Sun Aug 08 15:48:56 GMT 2021","3185","","RegistrationTests","","RegistrationTests","testNoPasswordRegistration","RI-02 Regisztráció jelszó megadása nélkül",""
"passed","Sun Aug 08 15:49:46 GMT 2021","Sun Aug 08 15:49:49 GMT 2021","2988","","TrainingTests","","TrainingTests","testOfKardioButton","TR-07 Felső menüsor tesztelése (KARDIÓ gomb)",""
"passed","Sun Aug 08 15:49:55 GMT 2021","Sun Aug 08 15:49:57 GMT 2021","2876","","TrainingTests","","TrainingTests","testOfMuscleButton","TR-10 Felső menüsor tesztelése (ERŐNLÉTI gomb)",""
