"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 08:48:31 GMT 2021","Sun Aug 08 08:48:34 GMT 2021","2489","","LoginTests","","LoginTests","TestUserLoginWrongPassword","LI-03 Bejelentkezés felhasználóként rossz jelszó megadásával",""
"passed","Sun Aug 08 08:48:54 GMT 2021","Sun Aug 08 08:49:04 GMT 2021","9149","","PersonalDetailsTests","","PersonalDetailsTests","testAddWrongConfirmPassword","PD-03 Felhasználó jelszavának módosítása, az új jelszó megerősítése helytelenül",""
"passed","Sun Aug 08 08:49:04 GMT 2021","Sun Aug 08 08:49:12 GMT 2021","8926","","PersonalDetailsTests","","PersonalDetailsTests","testChangePassword","PD-04 Felhasználó jelszavának módosítása, helyes adatokkal",""
"passed","Sun Aug 08 08:49:35 GMT 2021","Sun Aug 08 08:49:41 GMT 2021","6170","","PersonalDetailsTests","","PersonalDetailsTests","testDeleteUserBillingDetails","PD-08 Felhasználó számlázási adatainak (kivéve név) törlése",""
"passed","Sun Aug 08 08:48:45 GMT 2021","Sun Aug 08 08:48:54 GMT 2021","9149","","PersonalDetailsTests","","PersonalDetailsTests","testAddWrongPasswordToChange","PD-02 Felhasználó jelszavának a módosítása rossz jelszót megadva",""
"passed","Sun Aug 08 08:48:26 GMT 2021","Sun Aug 08 08:48:28 GMT 2021","2386","","LoginTests","","LoginTests","TestUserLoginNoEmail","LI-01 Bejelentkezés felhasználóként email cím megadása nélkül",""
"passed","Sun Aug 08 08:47:50 GMT 2021","Sun Aug 08 08:47:56 GMT 2021","6130","","LogoutTest","","LogoutTest","TestUserLogout","LO-01 User kijlentkezés",""
"passed","Sun Aug 08 08:48:08 GMT 2021","Sun Aug 08 08:48:14 GMT 2021","6051","","LogoutTest","","LogoutTest","TestUserLogout","repetition 3 of 5",""
"passed","Sun Aug 08 08:48:34 GMT 2021","Sun Aug 08 08:48:39 GMT 2021","5724","","LoginTests","","LoginTests","TestUserLogin","LI-04 Bejelentkezés felhasználóként érvényes adatokkal",""
"passed","Sun Aug 08 08:47:34 GMT 2021","Sun Aug 08 08:47:37 GMT 2021","2982","","RegistrationTests","","RegistrationTests","testNoClickTermsCondtsRegistration","RI-05 Regisztráció a felhasználási feltételek elfogadása nélkül",""
"passed","Sun Aug 08 08:47:31 GMT 2021","Sun Aug 08 08:47:34 GMT 2021","2560","","RegistrationTests","","RegistrationTests","testNotMatchPasswordRegistration","RI-04 Regisztráció nem egyező jelszavak megadásával",""
"passed","Sun Aug 08 08:47:42 GMT 2021","Sun Aug 08 08:47:44 GMT 2021","2311","","TrainingTests","","TrainingTests","testChooseTrainingType","testChooseTrainingType()",""
"passed","Sun Aug 08 08:49:28 GMT 2021","Sun Aug 08 08:49:35 GMT 2021","6807","","PersonalDetailsTests","","PersonalDetailsTests","testModifyUserBillingDetails","PD-07 Felhasználó számlázási adatainak (címének) módosítása",""
"passed","Sun Aug 08 08:47:40 GMT 2021","Sun Aug 08 08:47:42 GMT 2021","2296","","TrainingTests","","TrainingTests","TestSaveTrainingDetailsToFile","TestSaveTrainingDetailsToFile()",""
"passed","Sun Aug 08 08:47:37 GMT 2021","Sun Aug 08 08:47:40 GMT 2021","2823","","RegistrationTests","","RegistrationTests","testNoClickPrivacyPolicyRegistration","RI-06 Regisztráció az adatvédelmi feltételek elfogadása nélkül",""
"passed","Sun Aug 08 08:48:02 GMT 2021","Sun Aug 08 08:48:08 GMT 2021","5911","","LogoutTest","","LogoutTest","TestUserLogout","repetition 2 of 5",""
"passed","Sun Aug 08 08:47:28 GMT 2021","Sun Aug 08 08:47:31 GMT 2021","2882","","RegistrationTests","","RegistrationTests","testNotValidPasswordRegistration","RI-03 Regisztráció érvénytelen jelszó megadásával",""
"passed","Sun Aug 08 08:48:28 GMT 2021","Sun Aug 08 08:48:31 GMT 2021","2751","","LoginTests","","LoginTests","TestUserLoginNoPassword","LI-02 Bejelentkezés felhasználóként jelszó megadása nélkül",""
"passed","Sun Aug 08 08:47:44 GMT 2021","Sun Aug 08 08:47:47 GMT 2021","3019","","TrainingTests","","TrainingTests","testChooseNotValidTrainingType","testChooseNotValidTrainingType()",""
"passed","Sun Aug 08 08:48:14 GMT 2021","Sun Aug 08 08:48:20 GMT 2021","6026","","LogoutTest","","LogoutTest","TestUserLogout","repetition 4 of 5",""
"passed","Sun Aug 08 08:49:19 GMT 2021","Sun Aug 08 08:49:28 GMT 2021","8987","","PersonalDetailsTests","","PersonalDetailsTests","testChangeBackToOriginalPassword","PD-06 Felhasználó jelszavának visszaállítása az eredetire",""
"passed","Sun Aug 08 08:47:47 GMT 2021","Sun Aug 08 08:47:50 GMT 2021","2577","","GdprTest","","GdprTest","TestOpenGDPR","TestOpenGDPR()",""
"passed","Sun Aug 08 08:49:12 GMT 2021","Sun Aug 08 08:49:19 GMT 2021","7041","","PersonalDetailsTests","","PersonalDetailsTests","testUploadUserBillingDetails","PD-05 Felhasználó számlázási adatainak megadása",""
"passed","Sun Aug 08 08:47:13 GMT 2021","Sun Aug 08 08:47:25 GMT 2021","12276","","RegistrationTests","","RegistrationTests","testNoEmailRegistration","RI-01 Regisztráció email cím megadása nélkül",""
"passed","Sun Aug 08 08:47:56 GMT 2021","Sun Aug 08 08:48:02 GMT 2021","6083","","LogoutTest","","LogoutTest","TestUserLogout","repetition 1 of 5",""
"passed","Sun Aug 08 08:48:20 GMT 2021","Sun Aug 08 08:48:26 GMT 2021","5724","","LogoutTest","","LogoutTest","TestUserLogout","repetition 5 of 5",""
"passed","Sun Aug 08 08:47:25 GMT 2021","Sun Aug 08 08:47:28 GMT 2021","3254","","RegistrationTests","","RegistrationTests","testNoPasswordRegistration","RI-02 Regisztráció jelszó megadása nélkül",""
"passed","Sun Aug 08 08:48:39 GMT 2021","Sun Aug 08 08:48:45 GMT 2021","5977","","PersonalDetailsTests","","PersonalDetailsTests","testUploadPersonaDetails","PD-01 Regisztrált felhasználó (user) adatainak megadása",""
